Project_ID,Project_Name,Sector,Lead_Contractor,Target_Budget_USD,Final_Cost_USD,Planned_Start,Planned_Duration_Days,Actual_End
PROJ-1054,Site Phase 1 Development,COMMERCIAL,Vertex Infra,2303266,3878841.845326489,2022-09-01,161,2023-03-20
PROJ-1055,Site Phase 4 Development,Residential,Apex Build,1487744,1841330.4008805107,2024-04-11,128,2024-10-02
PROJ-1056,Site Phase 4 Development,Residential,Apex Build,1573182,1999837.2456536288,2023-05-20,243,2024-03-07
PROJ-1057,Site Phase 6 Development,Commercial,Summit Const,3206940,3653748.3887791196,2022-05-11,339,2023-07-01
PROJ-1058,Site Phase 9 Development,Residential,Apex Build,3012502,4266279.327626937,2023-04-30,251,2024-02-01
PROJ-1059,Site Phase 3 Development,Commercial,Apex Build,6005692,8440148.89793591,2024-03-29,527,2025-11-11
PROJ-1060,Site Phase 9 Development,Infrastructure,Summit Const,1620396,2143922.934122424,2023-10-09,207,2024-06-22
PROJ-1061,Site Phase 6 Development,Infrastructure,Apex Construction Inc,2731800,3566130.5190567328,2022-01-21,348,2023-01-23
PROJ-1062,Site Phase 7 Development,Infrastructure,Apex Construction Inc,3727152,4984206.559785995,2024-04-20,468,2025-11-11
PROJ-1063,Site Phase 2 Development,Residential,Summit Const,3789630,5812353.6333529195,2022-06-16,395,2023-10-03
PROJ-1064,Site Phase 6 Development,Residential,Delta Partners,5048337,6566540.702000509,2022-10-01,357,2023-11-17
PROJ-1065,Site Phase 6 Development,Commercial,Apex Build,6264472,8024173.074496601,2023-01-23,538,2024-10-07
PROJ-1066,Site Phase 2 Development,res,Apex Build,1122550,2651252.2848180206,2023-08-24,143,2024-04-27
PROJ-1067,Site Phase 2 Development,Commercial,Summit Const,1678625,2097372.529085222,2022-11-12,325,2023-12-13
PROJ-1068,Site Phase 2 Development,Infrastructure,Summit Const,2829282,3194162.913328547,2022-01-14,478,2023-07-30
PROJ-1069,Site Phase 1 Development,Commercial,Delta Partners,4137855,6043868.936225206,2022-08-30,311,2023-09-15
PROJ-1070,Site Phase 5 Development,res,Apex Construction Inc,2891360,4710062.538332931,2024-02-16,340,2025-03-22
PROJ-1071,Site Phase 8 Development,Residential,Vertex Infra,2408382,3007433.7051358223,2022-12-12,402,2024-03-17
PROJ-1072,Site Phase 2 Development,Commercial,Apex Construction Inc,5413030,,2023-07-19,490,
PROJ-1073,Site Phase 5 Development,Infrastructure,Apex Build,1776639,,2024-06-16,201,
PROJ-1074,Site Phase 8 Development,Infrastructure,Summit Const,2152752,3254082.32601102,2022-12-06,344,2024-03-01
PROJ-1075,Site Phase 5 Development,Residential,Delta Partners,4942728,6060782.361703268,2022-04-02,392,2023-08-05
PROJ-1076,Site Phase 2 Development,Commercial,Apex Construction Inc,6798176,8641677.118675005,2023-01-02,496,2024-05-29
PROJ-1077,Site Phase 3 Development,res,Delta Partners,2901984,5197821.084367714,2024-08-13,296,2025-08-27
PROJ-1078,Site Phase 6 Development,Residential,Apex Construction Inc,1611306,1893987.611516464,2023-03-31,318,2024-02-26
PROJ-1079,Site Phase 5 Development,Commercial,Apex Build,6358840,7328748.956293068,2023-03-04,430,2024-06-06
PROJ-1080,Site Phase 4 Development,COMMERCIAL,Vertex Infra,5191420,6510013.031121378,2023-05-24,487,2024-11-29
PROJ-1081,Site Phase 4 Development,Infrastructure,Delta Partners,1469090,1597354.482137015,2024-02-15,155,2024-08-09
PROJ-1082,Site Phase 5 Development,res,Delta Partners,2166440,4554816.689316994,2024-07-31,164,2025-04-14
PROJ-1083,Site Phase 2 Development,res,Vertex Infra,4465004,5841047.852610858,2022-02-04,524,2023-10-16
PROJ-1084,Site Phase 9 Development,res,Delta Partners,1069824,1364999.2182914321,2022-07-25,192,2023-03-06
PROJ-1085,Site Phase 2 Development,Infrastructure,Delta Partners,6173902,,2022-03-22,511,
PROJ-1086,Site Phase 2 Development,Commercial,Apex Construction Inc,3605792,4473699.679323862,2024-07-20,281,2025-05-27
PROJ-1087,Site Phase 9 Development,Residential,Apex Construction Inc,3544695,4924456.366747838,2023-07-16,341,2024-08-06
PROJ-1088,Site Phase 3 Development,Commercial,Vertex Infra,2286270,3424880.6135505065,2024-05-21,315,2025-10-10
PROJ-1089,Site Phase 7 Development,Residential,Apex Build,4227937,6362062.684092603,2023-01-23,383,2024-04-08
PROJ-1090,Site Phase 4 Development,res,Delta Partners,2231750,3189672.550756336,2022-01-02,395,2023-02-18
PROJ-1091,Site Phase 6 Development,Commercial,Apex Build,2008567,3235169.2485667695,2023-01-25,187,2023-09-28
PROJ-1092,Site Phase 4 Development,res,Vertex Infra,5054826,7711922.4216689365,2023-07-20,427,2024-11-04
PROJ-1093,Site Phase 7 Development,COMMERCIAL,Vertex Infra,2845125,3375657.8689604797,2022-04-16,375,2023-07-16
PROJ-1094,Site Phase 1 Development,res,Apex Construction Inc,5459424,6363310.355697541,2024-02-11,424,2025-04-20
PROJ-1095,Site Phase 3 Development,res,Delta Partners,3602232,5070072.308761536,2024-04-01,436,2025-08-25
PROJ-1096,Site Phase 3 Development,Residential,Summit Const,3321112,4226725.123979535,2023-04-22,524,2024-11-02
PROJ-1097,Site Phase 1 Development,COMMERCIAL,Vertex Infra,5357856,7503981.872826959,2023-12-04,536,2025-10-16
PROJ-1098,Site Phase 6 Development,res,Delta Partners,4279660,4909341.135722248,2023-02-06,397,2024-04-07
PROJ-1099,Site Phase 9 Development,res,Apex Build,2645526,3001169.0732759233,2023-12-31,338,2025-02-01
PROJ-1100,Site Phase 8 Development,COMMERCIAL,Apex Construction Inc,2609160,4339413.34392865,2023-07-10,255,2024-07-31
PROJ-1101,Site Phase 7 Development,COMMERCIAL,Apex Build,3060008,3102030.5594729665,2022-06-11,424,2023-08-23
PROJ-1102,Site Phase 8 Development,Commercial,Vertex Infra,1016141,2726759.512457449,2022-07-21,119,2023-03-30
PROJ-1103,Site Phase 6 Development,Residential,Vertex Infra,4315920,5070374.656503104,2024-08-15,336,2025-09-12
PROJ-1104,Site Phase 9 Development,COMMERCIAL,Apex Build,2774655,2737111.912940491,2024-09-22,195,2025-04-17
PROJ-1105,Site Phase 3 Development,COMMERCIAL,Vertex Infra,1313620,1854069.123575685,2022-09-27,140,2023-03-14
PROJ-1106,Site Phase 9 Development,Infrastructure,Delta Partners,1353370,2221471.384603872,2024-05-12,170,2024-12-31
PROJ-1107,Site Phase 4 Development,COMMERCIAL,Vertex Infra,1826172,2615519.6642091186,2024-03-26,222,2024-11-19
PROJ-1108,Site Phase 7 Development,Residential,Apex Construction Inc,4427038,5964902.245391877,2022-09-28,374,2023-11-26
PROJ-1109,Site Phase 9 Development,res,Delta Partners,5738787,6543413.018315708,2023-04-01,477,2024-08-20
PROJ-1110,Site Phase 2 Development,res,Summit Const,3243830,5300578.169649084,2023-04-07,227,2024-01-17
PROJ-1111,Site Phase 2 Development,res,Vertex Infra,3857763,4662937.826588035,2023-12-28,273,2024-10-05
PROJ-1112,Site Phase 9 Development,res,Vertex Infra,4270840,4872992.570851526,2022-09-09,490,2024-04-26
PROJ-1113,Site Phase 3 Development,Infrastructure,Apex Construction Inc,3525466,5872348.651270319,2023-12-03,419,2025-07-15
PROJ-1114,Site Phase 9 Development,COMMERCIAL,Apex Construction Inc,2334176,4618514.797142463,2022-10-23,362,2024-04-04
PROJ-1115,Site Phase 5 Development,res,Apex Build,2389530,3046131.8696822473,2023-12-26,429,2025-05-07
PROJ-1116,Site Phase 6 Development,Commercial,Apex Build,1248832,1400110.8471792536,2023-12-21,158,2024-06-07
PROJ-1117,Site Phase 2 Development,res,Apex Build,923115,1436695.2200796434,2024-01-19,123,2024-08-03
PROJ-1118,Site Phase 8 Development,COMMERCIAL,Apex Construction Inc,2076867,2032219.7549793057,2022-12-04,351,2023-11-21
PROJ-1119,Site Phase 9 Development,res,Apex Build,1701444,2019856.628366467,2024-05-28,142,2024-10-26
PROJ-1120,Site Phase 2 Development,Infrastructure,Apex Build,6698153,8306140.575784637,2022-02-22,539,2023-09-03
PROJ-1121,Site Phase 6 Development,Residential,Summit Const,3332784,3602852.9033774403,2024-03-02,294,2025-02-03
PROJ-1122,Site Phase 6 Development,Residential,Apex Build,1435770,2707636.1775514884,2024-07-10,215,2025-05-02
PROJ-1123,Site Phase 8 Development,COMMERCIAL,Vertex Infra,1819260,2733117.8374023843,2022-08-05,324,2023-08-21
PROJ-1124,Site Phase 5 Development,Residential,Apex Construction Inc,1972212,3030976.576861477,2024-02-03,132,2024-07-22
PROJ-1125,Site Phase 9 Development,Residential,Delta Partners,3976294,5670464.795188902,2022-07-07,329,2023-06-29
PROJ-1126,Site Phase 1 Development,Commercial,Summit Const,4484540,6754583.145061437,2023-01-15,460,2025-01-21
PROJ-1127,Site Phase 9 Development,COMMERCIAL,Apex Construction Inc,1701000,2285012.729304186,2023-05-08,200,2023-12-30
PROJ-1128,Site Phase 7 Development,COMMERCIAL,Apex Construction Inc,3220802,4376551.549708445,2022-02-10,338,2023-02-23
PROJ-1129,Site Phase 4 Development,Residential,Vertex Infra,1472400,2048101.7685375342,2022-06-06,240,2023-02-15
PROJ-1130,Site Phase 3 Development,Residential,Apex Build,3689952,6185856.931112406,2022-01-15,272,2023-01-03
PROJ-1131,Site Phase 6 Development,Residential,Vertex Infra,5196050,6158105.296896536,2024-03-23,425,2025-07-21
PROJ-1132,Site Phase 1 Development,Infrastructure,Apex Build,1869808,2799208.8404475935,2022-03-06,184,2022-09-23
PROJ-1133,Site Phase 3 Development,res,Apex Build,2410378,2389327.451441653,2024-05-06,463,2025-08-26
PROJ-1134,Site Phase 2 Development,Infrastructure,Apex Construction Inc,4828875,7291076.677551948,2024-04-18,489,2025-10-22
PROJ-1135,Site Phase 9 Development,COMMERCIAL,Apex Build,612943,1400765.7149801266,2023-06-05,97,2023-11-12
PROJ-1136,Site Phase 3 Development,Commercial,Summit Const,2929257,3047566.6463136454,2022-12-10,477,2024-04-25
PROJ-1137,Site Phase 2 Development,res,Summit Const,4322523,7247559.105026816,2022-05-09,449,2023-12-27
PROJ-1138,Site Phase 4 Development,Commercial,Summit Const,5909553,5665625.377096945,2023-10-10,477,2025-02-18
PROJ-1139,Site Phase 2 Development,COMMERCIAL,Apex Construction Inc,2099370,2722032.0948138763,2023-04-17,273,2024-03-03
PROJ-1140,Site Phase 1 Development,COMMERCIAL,Vertex Infra,4559510,7135889.774003235,2022-03-04,370,2023-07-17
PROJ-1141,Site Phase 6 Development,Commercial,Delta Partners,2344420,3095225.6485317345,2022-05-19,284,2023-03-30
PROJ-1142,Site Phase 8 Development,Commercial,Apex Build,5856921,9156667.613685258,2023-05-14,441,2024-09-29
PROJ-1143,Site Phase 2 Development,Commercial,Delta Partners,2900492,3976732.6624203585,2023-08-16,284,2024-06-26
PROJ-1144,Site Phase 9 Development,COMMERCIAL,Vertex Infra,2222352,2825791.622839854,2023-01-27,244,2023-10-26
PROJ-1145,Site Phase 3 Development,Residential,Vertex Infra,1459640,3966158.023366536,2023-11-06,182,2024-11-19
PROJ-1146,Site Phase 8 Development,Commercial,Apex Construction Inc,1707393,2763049.1205561617,2023-02-23,249,2023-12-13
PROJ-1147,Site Phase 8 Development,res,Summit Const,7319908,8007514.274524606,2022-10-16,523,2024-07-05
PROJ-1148,Site Phase 3 Development,COMMERCIAL,Summit Const,2120400,3481034.2823581053,2023-01-14,150,2023-07-10
PROJ-1149,Site Phase 3 Development,Infrastructure,Vertex Infra,1643479,1762929.9877400405,2024-02-12,211,2024-10-09
PROJ-1150,Site Phase 6 Development,Infrastructure,Apex Construction Inc,1242500,1693795.8346187486,2023-05-05,140,2023-09-28
PROJ-1151,Site Phase 1 Development,res,Apex Construction Inc,6201660,7250554.307209268,2022-08-19,492,2024-02-23
PROJ-1152,Site Phase 4 Development,Residential,Apex Build,5417532,5591324.103991234,2022-02-10,366,2023-03-08
PROJ-1153,Site Phase 1 Development,Commercial,Summit Const,1234690,2853788.871281198,2022-01-28,94,2022-08-10
PROJ-1154,Site Phase 3 Development,COMMERCIAL,Vertex Infra,2000955,2944955.4584514773,2022-05-15,181,2022-12-19
PROJ-1155,Site Phase 9 Development,Commercial,Delta Partners,2300438,3990470.143224692,2022-07-20,259,2023-09-05
PROJ-1156,Site Phase 5 Development,COMMERCIAL,Summit Const,4943050,4820687.7760872375,2024-04-19,406,2025-06-20
PROJ-1157,Site Phase 5 Development,Infrastructure,Apex Build,1346319,3099476.3333510407,2024-02-19,111,2024-09-19
PROJ-1158,Site Phase 4 Development,Commercial,Apex Construction Inc,4950374,,2024-07-18,494,
PROJ-1159,Site Phase 3 Development,res,Vertex Infra,4040025,5249639.592111635,2022-02-02,415,2023-06-11
PROJ-1160,Site Phase 5 Development,Residential,Summit Const,664830,1452228.3972649944,2022-02-17,90,2022-08-31
PROJ-1161,Site Phase 4 Development,res,Delta Partners,2571204,3844082.5614478923,2023-05-18,222,2024-03-09
PROJ-1162,Site Phase 8 Development,Residential,Apex Build,4550826,4898045.6616098285,2023-02-11,322,2024-02-21
PROJ-1163,Site Phase 4 Development,Commercial,Apex Build,1097466,1651504.6493918346,2023-07-28,101,2023-11-21
PROJ-1164,Site Phase 8 Development,Commercial,Summit Const,3291210,4411338.595794102,2023-12-29,435,2025-03-17
PROJ-1165,Site Phase 6 Development,Residential,Delta Partners,806625,1769269.5433550116,2024-03-15,135,2024-11-18
PROJ-1166,Site Phase 5 Development,Infrastructure,Apex Build,1502076,2300698.0919751166,2022-04-09,123,2022-10-01
PROJ-1167,Site Phase 4 Development,COMMERCIAL,Vertex Infra,7384212,10904242.76787794,2023-11-15,522,2025-06-30
PROJ-1168,Site Phase 4 Development,res,Apex Build,1045754,1533485.2155193747,2024-05-21,167,2024-12-15
PROJ-1169,Site Phase 4 Development,res,Delta Partners,3084429,4168473.220832317,2023-12-27,307,2024-11-07
PROJ-1170,Site Phase 9 Development,res,Apex Construction Inc,5512650,6890918.34164878,2024-09-13,390,2025-10-19
PROJ-1171,Site Phase 4 Development,Commercial,Apex Construction Inc,6191000,8928030.29084052,2023-07-01,500,2025-01-09
PROJ-1172,Site Phase 9 Development,res,Summit Const,1819422,2639949.5757292085,2024-08-18,162,2025-03-02
PROJ-1173,Site Phase 6 Development,COMMERCIAL,Delta Partners,3089317,,2024-01-09,371,
PROJ-1174,Site Phase 7 Development,COMMERCIAL,Apex Build,3592940,5614198.7000293415,2023-09-05,338,2024-09-22
PROJ-1175,Site Phase 3 Development,Residential,Apex Build,987224,1240572.6036000738,2024-07-31,136,2024-12-24
PROJ-1176,Site Phase 8 Development,Commercial,Apex Construction Inc,1313970,1963848.1878348133,2023-04-07,210,2023-12-24
PROJ-1177,Site Phase 3 Development,COMMERCIAL,Apex Construction Inc,1655592,1876790.5584995726,2023-10-05,303,2024-09-09
PROJ-1178,Site Phase 1 Development,Infrastructure,Vertex Infra,2720432,4134320.44156327,2024-02-08,328,2025-03-25
PROJ-1179,Site Phase 5 Development,Commercial,Apex Construction Inc,1707230,2373481.2195260352,2022-01-05,145,2022-06-24
PROJ-1180,Site Phase 2 Development,Commercial,Vertex Infra,5457209,5822952.165471555,2022-08-06,439,2023-11-21
PROJ-1181,Site Phase 6 Development,COMMERCIAL,Apex Build,1221080,1187485.8306922838,2023-05-18,196,2023-12-09
PROJ-1182,Site Phase 9 Development,Infrastructure,Vertex Infra,5743008,7039502.451135464,2024-02-06,408,2025-03-28
PROJ-1183,Site Phase 1 Development,Residential,Vertex Infra,1206285,1918731.3866885137,2023-02-02,137,2023-07-22
PROJ-1184,Site Phase 4 Development,COMMERCIAL,Summit Const,1712850,2507171.96405577,2024-05-20,150,2024-11-25
PROJ-1185,Site Phase 1 Development,Infrastructure,Apex Construction Inc,4579500,5076558.733269382,2024-03-05,426,2025-06-14
PROJ-1186,Site Phase 1 Development,Commercial,Vertex Infra,1018440,1529046.3037915465,2023-01-28,115,2023-06-17
PROJ-1187,Site Phase 8 Development,Infrastructure,Apex Build,3099435,,2022-07-26,381,
PROJ-1188,Site Phase 2 Development,Commercial,Delta Partners,4135738,5922057.058443005,2022-01-15,346,2023-04-02
PROJ-1189,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1369252,2369622.6813127045,2024-05-07,97,2024-10-25
PROJ-1190,Site Phase 8 Development,COMMERCIAL,Apex Construction Inc,2228868,2255341.68044766,2023-07-08,202,2024-01-30
PROJ-1191,Site Phase 4 Development,res,Summit Const,4257516,4550399.212799288,2024-06-10,444,2025-09-27
PROJ-1192,Site Phase 3 Development,res,Apex Build,2238732,2583710.2833714834,2023-04-06,342,2024-04-01
PROJ-1193,Site Phase 4 Development,res,Summit Const,2976485,2970031.668652506,2023-11-22,269,2024-09-07
PROJ-1194,Site Phase 5 Development,COMMERCIAL,Delta Partners,1803824,3375125.013713524,2023-07-29,296,2024-12-14
PROJ-1195,Site Phase 1 Development,Residential,Vertex Infra,2905112,3563469.2892379467,2024-05-13,392,2025-07-03
PROJ-1196,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1645272,2269636.7602007985,2024-01-13,216,2024-09-30
PROJ-1197,Site Phase 3 Development,Infrastructure,Apex Construction Inc,2023330,2969710.5103598423,2022-08-29,145,2023-03-12
PROJ-1198,Site Phase 6 Development,COMMERCIAL,Vertex Infra,2770935,4440839.214468493,2023-07-18,303,2024-07-20
PROJ-1199,Site Phase 1 Development,COMMERCIAL,Apex Build,800825,1104118.7974505676,2022-04-06,103,2022-08-30
PROJ-1200,Site Phase 2 Development,Commercial,Delta Partners,1360476,1648854.4668064239,2024-06-18,117,2024-10-19
PROJ-1201,Site Phase 7 Development,Commercial,Summit Const,1361885,,2024-01-04,167,
PROJ-1202,Site Phase 1 Development,Commercial,Delta Partners,2735850,2878501.694380227,2023-04-30,305,2024-04-07
PROJ-1203,Site Phase 7 Development,COMMERCIAL,Vertex Infra,6161700,7359715.2846807,2023-02-11,475,2024-06-03
PROJ-1204,Site Phase 4 Development,Residential,Summit Const,6253850,7789465.008876306,2022-08-19,454,2023-12-10
PROJ-1205,Site Phase 6 Development,Infrastructure,Apex Construction Inc,2530845,3514356.598570652,2024-01-19,243,2024-09-27
PROJ-1206,Site Phase 8 Development,Infrastructure,Delta Partners,961093,1364081.7945902168,2023-10-17,103,2024-02-18
PROJ-1207,Site Phase 9 Development,Residential,Summit Const,1915992,2931245.797338522,2022-06-20,276,2023-04-22
PROJ-1208,Site Phase 6 Development,Residential,Summit Const,4421426,4270387.118976872,2023-06-25,401,2024-08-17
PROJ-1209,Site Phase 9 Development,Infrastructure,Summit Const,6118460,6387086.254462966,2022-02-05,460,2023-06-26
PROJ-1210,Site Phase 4 Development,res,Apex Build,498336,784948.7627677716,2023-06-09,96,2023-11-20
PROJ-1211,Site Phase 6 Development,Commercial,Delta Partners,1296740,2518422.948490612,2022-06-09,92,2022-12-06
PROJ-1212,Site Phase 8 Development,Commercial,Summit Const,1172200,1543745.713525782,2024-04-18,200,2024-11-29
PROJ-1213,Site Phase 9 Development,Infrastructure,Delta Partners,5808656,7231624.193715894,2023-11-30,496,2025-04-18
PROJ-1214,Site Phase 3 Development,Residential,Summit Const,4667925,4518292.374246508,2022-08-31,327,2023-08-09
PROJ-1215,Site Phase 2 Development,res,Apex Construction Inc,2553348,3963313.331746505,2022-03-27,452,2023-08-20
PROJ-1216,Site Phase 6 Development,Infrastructure,Apex Construction Inc,2995952,4766373.863689105,2024-03-06,328,2025-04-05
PROJ-1217,Site Phase 4 Development,Commercial,Apex Construction Inc,4569081,4974526.557483786,2023-08-01,363,2024-08-12
PROJ-1218,Site Phase 1 Development,COMMERCIAL,Vertex Infra,5296124,6710078.159920659,2023-11-13,383,2025-04-13
PROJ-1219,Site Phase 8 Development,Residential,Summit Const,1907376,1926218.6165799368,2023-07-11,316,2024-05-30
PROJ-1220,Site Phase 9 Development,COMMERCIAL,Vertex Infra,4200260,4363542.50161517,2023-07-28,460,2024-12-05
PROJ-1221,Site Phase 9 Development,Infrastructure,Delta Partners,743392,1141053.4937175964,2024-08-10,104,2025-01-23
PROJ-1222,Site Phase 2 Development,Commercial,Vertex Infra,2938417,4800549.5165187605,2023-10-08,281,2024-11-07
PROJ-1223,Site Phase 9 Development,res,Delta Partners,2304432,3071235.386984584,2024-03-06,208,2024-12-02
PROJ-1224,Site Phase 7 Development,COMMERCIAL,Delta Partners,869310,1523322.9189120964,2022-01-28,117,2022-08-06
PROJ-1225,Site Phase 5 Development,res,Delta Partners,2001789,3099024.6609186465,2023-09-12,291,2024-07-31
PROJ-1226,Site Phase 7 Development,Commercial,Vertex Infra,1605376,3396251.3547923625,2023-07-10,128,2024-02-13
PROJ-1227,Site Phase 9 Development,COMMERCIAL,Summit Const,3715830,5300103.450583294,2022-12-06,530,2024-06-08
PROJ-1228,Site Phase 8 Development,res,Vertex Infra,3031026,3862943.683381916,2024-03-08,362,2025-06-26
PROJ-1229,Site Phase 6 Development,res,Summit Const,3954240,4974986.686998367,2024-08-15,320,2025-08-19
PROJ-1230,Site Phase 4 Development,COMMERCIAL,Summit Const,1100575,,2022-11-27,175,
PROJ-1231,Site Phase 1 Development,Commercial,Delta Partners,1386105,1500332.9438995903,2023-10-02,215,2024-06-06
PROJ-1232,Site Phase 6 Development,res,Vertex Infra,3189411,3254357.2270672377,2023-05-21,389,2024-08-03
