Project_ID,Project_Name,Sector,Lead_Contractor,Target_Budget_USD,Final_Cost_USD,Planned_Start,Planned_Duration_Days,Actual_End,Actual_Duration_Days,Cost_Variance,Schedule_Variance,CPI,Is_Over_Budget
PROJ-1020,Site Phase 7 Development,COMMERCIAL,Apex Build,2364989,4875777.65123068,2023-10-24,187,2024-09-07,319,-2510788.65123068,-132,0.48504857464184414,1
PROJ-1021,Site Phase 5 Development,COMMERCIAL,Summit Const,1927002,5777689.10356049,2022-11-05,194,2024-01-18,439,-3850687.1035604896,-245,0.3335246956802312,1
PROJ-1022,Site Phase 1 Development,COMMERCIAL,Apex Build,2736340,2978174.0316824694,2024-02-09,188,2024-09-01,205,-241834.03168246942,-17,0.9187978845058127,1
PROJ-1023,Site Phase 4 Development,INFRASTRUCTURE,Summit Const,4237560,4381068.648470713,2022-12-10,474,2024-05-02,509,-143508.64847071283,-35,0.9672434604463898,1
PROJ-1024,Site Phase 4 Development,INFRASTRUCTURE,Summit Const,5672602,8964583.866909474,2023-05-07,494,2024-11-22,565,-3291981.866909474,-71,0.6327791768382017,1
PROJ-1025,Site Phase 7 Development,RESIDENTIAL,Apex Build,2081200,2288301.6216813703,2023-02-18,400,2024-05-24,461,-207101.6216813703,-61,0.909495487955299,1
PROJ-1026,Site Phase 9 Development,RESIDENTIAL,Vertex Infra,490200,670149.7935399265,2024-03-16,95,2024-07-08,114,-179949.79353992653,-19,0.7314782526614247,1
PROJ-1028,Site Phase 1 Development,RESIDENTIAL,Apex Build,3849120,4710938.989842602,2022-07-11,440,2023-10-14,460,-861818.989842602,-20,0.8170600401107304,1
PROJ-1029,Site Phase 2 Development,RESIDENTIAL,Summit Const,2601396,2618912.190709275,2024-08-13,222,2025-04-07,237,-17516.190709275194,-15,0.9933116540633112,1
PROJ-1030,Site Phase 7 Development,COMMERCIAL,Delta Partners,3388707,3428022.47203746,2022-10-04,447,2024-02-03,487,-39315.47203746019,-40,0.9885311510183616,1
PROJ-1031,Site Phase 6 Development,RESIDENTIAL,Delta Partners,2120364,2316217.049442258,2022-06-10,348,2023-07-14,399,-195853.0494422582,-51,0.9154427045214009,1
PROJ-1033,Site Phase 1 Development,RESIDENTIAL,Apex Build,1545488,2054200.559133591,2022-11-10,112,2023-03-17,127,-508712.5591335909,-15,0.752354969980072,1
PROJ-1035,Site Phase 5 Development,INFRASTRUCTURE,Apex Build,3741928,4973990.479087192,2022-09-10,254,2023-06-14,277,-1232062.4790871916,-23,0.7522989872483039,1
PROJ-1036,Site Phase 1 Development,COMMERCIAL,Summit Const,2291625,3177486.8631179887,2024-01-18,291,2024-11-21,308,-885861.8631179887,-17,0.7212067582716253,1
PROJ-1037,Site Phase 7 Development,COMMERCIAL,Summit Const,1408852,2111812.256414483,2024-05-06,172,2025-02-10,280,-702960.2564144828,-108,0.6671293793852697,1
PROJ-1038,Site Phase 1 Development,COMMERCIAL,Vertex Infra,1599858,3056045.155475385,2023-07-15,234,2024-08-07,389,-1456187.155475385,-155,0.5235060081274006,1
PROJ-1039,Site Phase 1 Development,RESIDENTIAL,Apex Build,989886,1982636.1708233089,2023-04-20,174,2024-01-25,280,-992750.1708233089,-106,0.49927768622769564,1
PROJ-1040,Site Phase 2 Development,INFRASTRUCTURE,Apex Build,1462753,2202084.520727415,2022-02-28,167,2022-10-31,245,-739331.5207274151,-78,0.6642583362407944,1
PROJ-1041,Site Phase 3 Development,INFRASTRUCTURE,Vertex Infra,3231865,3825217.4171459447,2023-05-26,455,2024-10-18,511,-593352.4171459447,-56,0.8448840020213402,1
PROJ-1042,Site Phase 1 Development,COMMERCIAL,Apex Build,482850,880543.379768587,2023-11-13,90,2024-03-28,136,-397693.37976858695,-46,0.5483545854684597,1
PROJ-1043,Site Phase 9 Development,RESIDENTIAL,Delta Partners,1832880,2684424.0334941703,2023-04-21,140,2023-09-20,152,-851544.0334941703,-12,0.6827833371817338,1
PROJ-1044,Site Phase 8 Development,COMMERCIAL,Apex Build,2403064,3638610.4710187647,2023-12-01,262,2024-09-30,304,-1235546.4710187647,-42,0.6604345310222703,1
PROJ-1045,Site Phase 5 Development,RESIDENTIAL,Apex Build,3243702,4285771.340294089,2024-09-02,294,2025-07-25,326,-1042069.3402940892,-32,0.7568537242067183,1
PROJ-1046,Site Phase 2 Development,COMMERCIAL,Apex Build,2574922,3434907.553384789,2024-02-22,349,2025-02-24,368,-859985.5533847888,-19,0.7496335665461065,1
PROJ-1047,Site Phase 5 Development,COMMERCIAL,Delta Partners,3319675,4063398.836860916,2022-07-09,535,2024-03-05,605,-743723.8368609161,-70,0.8169700128586288,1
PROJ-1048,Site Phase 6 Development,COMMERCIAL,Apex Build,5373544,7070305.471448613,2024-08-15,538,2026-03-18,580,-1696761.4714486133,-42,0.7600158185101769,1
PROJ-1049,Site Phase 1 Development,RESIDENTIAL,Delta Partners,4886402,5718071.315092487,2023-11-18,458,2025-03-05,473,-831669.3150924873,-15,0.8545542247965063,1
PROJ-1050,Site Phase 4 Development,RESIDENTIAL,Vertex Infra,2916095,3132303.749154094,2024-08-15,377,2025-09-26,407,-216208.74915409414,-30,0.9309745265884628,1
PROJ-1051,Site Phase 9 Development,RESIDENTIAL,Apex Build,1828641,3458980.891349186,2023-07-17,123,2024-01-19,186,-1630339.8913491862,-63,0.5286646724685238,1
PROJ-1052,Site Phase 2 Development,RESIDENTIAL,Vertex Infra,5895130,7136564.936534094,2024-05-25,437,2025-08-17,449,-1241434.9365340937,-12,0.8260458711474988,1
PROJ-1053,Site Phase 5 Development,RESIDENTIAL,Apex Build,1095904,1729232.8941145465,2023-07-21,184,2024-04-15,269,-633328.8941145465,-85,0.6337515344115389,1
PROJ-1054,Site Phase 1 Development,COMMERCIAL,Vertex Infra,2303266,3878841.845326489,2022-09-01,161,2023-03-20,200,-1575575.8453264888,-39,0.5938025039033604,1
PROJ-1055,Site Phase 4 Development,RESIDENTIAL,Apex Build,1487744,1841330.4008805107,2024-04-11,128,2024-10-02,174,-353586.4008805107,-46,0.8079723222342778,1
PROJ-1056,Site Phase 4 Development,RESIDENTIAL,Apex Build,1573182,1999837.2456536288,2023-05-20,243,2024-03-07,292,-426655.24565362884,-49,0.7866550157614549,1
PROJ-1057,Site Phase 6 Development,COMMERCIAL,Summit Const,3206940,3653748.38877912,2022-05-11,339,2023-07-01,416,-446808.38877912005,-77,0.877712326839118,1
PROJ-1058,Site Phase 9 Development,RESIDENTIAL,Apex Build,3012502,4266279.327626937,2023-04-30,251,2024-02-01,277,-1253777.327626937,-26,0.7061192595834238,1
PROJ-1059,Site Phase 3 Development,COMMERCIAL,Apex Build,6005692,8440148.89793591,2024-03-29,527,2025-11-11,592,-2434456.89793591,-65,0.7115623281798652,1
PROJ-1060,Site Phase 9 Development,INFRASTRUCTURE,Summit Const,1620396,2143922.934122424,2023-10-09,207,2024-06-22,257,-523526.9341224241,-50,0.755808883896883,1
PROJ-1061,Site Phase 6 Development,INFRASTRUCTURE,Apex Build,2731800,3566130.5190567328,2022-01-21,348,2023-01-23,367,-834330.5190567328,-19,0.7660403861837847,1
PROJ-1062,Site Phase 7 Development,INFRASTRUCTURE,Apex Build,3727152,4984206.559785995,2024-04-20,468,2025-11-11,570,-1257054.5597859947,-102,0.7477924430483538,1
PROJ-1063,Site Phase 2 Development,RESIDENTIAL,Summit Const,3789630,5812353.63335292,2022-06-16,395,2023-10-03,474,-2022723.6333529204,-79,0.6519957729780991,1
PROJ-1064,Site Phase 6 Development,RESIDENTIAL,Delta Partners,5048337,6566540.702000509,2022-10-01,357,2023-11-17,412,-1518203.702000509,-55,0.7687970316641781,1
PROJ-1065,Site Phase 6 Development,COMMERCIAL,Apex Build,6264472,8024173.074496601,2023-01-23,538,2024-10-07,623,-1759701.0744966008,-85,0.7807000100621588,1
PROJ-1066,Site Phase 2 Development,RESIDENTIAL,Apex Build,1122550,2651252.2848180206,2023-08-24,143,2024-04-27,247,-1528702.2848180206,-104,0.42340368980655146,1
PROJ-1067,Site Phase 2 Development,COMMERCIAL,Summit Const,1678625,2097372.529085222,2022-11-12,325,2023-12-13,396,-418747.52908522217,-71,0.8003466130702777,1
PROJ-1068,Site Phase 2 Development,INFRASTRUCTURE,Summit Const,2829282,3194162.913328547,2022-01-14,478,2023-07-30,562,-364880.91332854703,-84,0.8857663421593249,1
PROJ-1069,Site Phase 1 Development,COMMERCIAL,Delta Partners,4137855,6043868.936225206,2022-08-30,311,2023-09-15,381,-1906013.9362252057,-70,0.6846367854204931,1
PROJ-1070,Site Phase 5 Development,RESIDENTIAL,Apex Build,2891360,4710062.538332931,2024-02-16,340,2025-03-22,400,-1818702.5383329308,-60,0.6138687069372463,1
PROJ-1071,Site Phase 8 Development,RESIDENTIAL,Vertex Infra,2408382,3007433.7051358223,2022-12-12,402,2024-03-17,461,-599051.7051358223,-59,0.8008096723419651,1
PROJ-1074,Site Phase 8 Development,INFRASTRUCTURE,Summit Const,2152752,3254082.32601102,2022-12-06,344,2024-03-01,451,-1101330.3260110202,-107,0.6615542522671596,1
PROJ-1075,Site Phase 5 Development,RESIDENTIAL,Delta Partners,4942728,6060782.361703268,2022-04-02,392,2023-08-05,490,-1118054.3617032683,-98,0.8155263965972439,1
PROJ-1076,Site Phase 2 Development,COMMERCIAL,Apex Build,6798176,8641677.118675005,2023-01-02,496,2024-05-29,513,-1843501.1186750047,-17,0.7866732240329686,1
PROJ-1077,Site Phase 3 Development,RESIDENTIAL,Delta Partners,2901984,5197821.084367714,2024-08-13,296,2025-08-27,379,-2295837.084367714,-83,0.5583077895327384,1
PROJ-1078,Site Phase 6 Development,RESIDENTIAL,Apex Build,1611306,1893987.611516464,2023-03-31,318,2024-02-26,332,-282681.61151646404,-14,0.8507479089104872,1
PROJ-1079,Site Phase 5 Development,COMMERCIAL,Apex Build,6358840,7328748.956293068,2023-03-04,430,2024-06-06,460,-969908.9562930679,-30,0.8676569545392567,1
PROJ-1080,Site Phase 4 Development,COMMERCIAL,Vertex Infra,5191420,6510013.031121378,2023-05-24,487,2024-11-29,555,-1318593.0311213778,-68,0.7974515527361019,1
PROJ-1081,Site Phase 4 Development,INFRASTRUCTURE,Delta Partners,1469090,1597354.482137015,2024-02-15,155,2024-08-09,176,-128264.48213701509,-21,0.9197019299276533,1
PROJ-1082,Site Phase 5 Development,RESIDENTIAL,Delta Partners,2166440,4554816.689316994,2024-07-31,164,2025-04-14,257,-2388376.6893169936,-93,0.4756371436596416,1
PROJ-1083,Site Phase 2 Development,RESIDENTIAL,Vertex Infra,4465004,5841047.852610858,2022-02-04,524,2023-10-16,619,-1376043.8526108582,-95,0.7644183223056822,1
PROJ-1084,Site Phase 9 Development,RESIDENTIAL,Delta Partners,1069824,1364999.218291432,2022-07-25,192,2023-03-06,224,-295175.2182914319,-32,0.7837542949944671,1
PROJ-1086,Site Phase 2 Development,COMMERCIAL,Apex Build,3605792,4473699.679323862,2024-07-20,281,2025-05-27,311,-867907.6793238623,-30,0.8059977777822058,1
PROJ-1087,Site Phase 9 Development,RESIDENTIAL,Apex Build,3544695,4924456.366747838,2023-07-16,341,2024-08-06,387,-1379761.3667478384,-46,0.7198144802206772,1
PROJ-1088,Site Phase 3 Development,COMMERCIAL,Vertex Infra,2286270,3424880.6135505065,2024-05-21,315,2025-10-10,507,-1138610.6135505065,-192,0.6675473565281065,1
PROJ-1089,Site Phase 7 Development,RESIDENTIAL,Apex Build,4227937,6362062.684092603,2023-01-23,383,2024-04-08,441,-2134125.6840926027,-58,0.6645544393285108,1
PROJ-1090,Site Phase 4 Development,RESIDENTIAL,Delta Partners,2231750,3189672.550756336,2022-01-02,395,2023-02-18,412,-957922.5507563362,-17,0.6996799716857477,1
PROJ-1091,Site Phase 6 Development,COMMERCIAL,Apex Build,2008567,3235169.248566769,2023-01-25,187,2023-09-28,246,-1226602.248566769,-59,0.6208537624082038,1
PROJ-1092,Site Phase 4 Development,RESIDENTIAL,Vertex Infra,5054826,7711922.421668936,2023-07-20,427,2024-11-04,473,-2657096.4216689356,-46,0.6554560229751489,1
PROJ-1093,Site Phase 7 Development,COMMERCIAL,Vertex Infra,2845125,3375657.86896048,2022-04-16,375,2023-07-16,456,-530532.8689604802,-81,0.8428357109768783,1
PROJ-1094,Site Phase 1 Development,RESIDENTIAL,Apex Build,5459424,6363310.355697541,2024-02-11,424,2025-04-20,434,-903886.3556975406,-10,0.857953438513615,1
PROJ-1095,Site Phase 3 Development,RESIDENTIAL,Delta Partners,3602232,5070072.308761536,2024-04-01,436,2025-08-25,511,-1467840.3087615361,-75,0.710489275226908,1
PROJ-1096,Site Phase 3 Development,RESIDENTIAL,Summit Const,3321112,4226725.123979535,2023-04-22,524,2024-11-02,560,-905613.123979535,-36,0.7857411832054779,1
PROJ-1097,Site Phase 1 Development,COMMERCIAL,Vertex Infra,5357856,7503981.872826959,2023-12-04,536,2025-10-16,682,-2146125.872826959,-146,0.7140017247911536,1
PROJ-1098,Site Phase 6 Development,RESIDENTIAL,Delta Partners,4279660,4909341.135722248,2023-02-06,397,2024-04-07,426,-629681.1357222479,-29,0.8717381582753648,1
PROJ-1099,Site Phase 9 Development,RESIDENTIAL,Apex Build,2645526,3001169.0732759237,2023-12-31,338,2025-02-01,398,-355643.0732759237,-60,0.8814984878916795,1
PROJ-1100,Site Phase 8 Development,COMMERCIAL,Apex Build,2609160,4339413.34392865,2023-07-10,255,2024-07-31,387,-1730253.34392865,-132,0.6012702163186464,1
PROJ-1101,Site Phase 7 Development,COMMERCIAL,Apex Build,3060008,3102030.5594729665,2022-06-11,424,2023-08-23,438,-42022.55947296647,-14,0.9864532090618391,1
PROJ-1102,Site Phase 8 Development,COMMERCIAL,Vertex Infra,1016141,2726759.512457449,2022-07-21,119,2023-03-30,252,-1710618.512457449,-133,0.372655159121172,1
PROJ-1103,Site Phase 6 Development,RESIDENTIAL,Vertex Infra,4315920,5070374.656503104,2024-08-15,336,2025-09-12,393,-754454.6565031037,-57,0.8512033710298974,1
PROJ-1104,Site Phase 9 Development,COMMERCIAL,Apex Build,2774655,2737111.912940491,2024-09-22,195,2025-04-17,207,37543.08705950901,-12,1.013716314222306,0
PROJ-1105,Site Phase 3 Development,COMMERCIAL,Vertex Infra,1313620,1854069.123575685,2022-09-27,140,2023-03-14,168,-540449.1235756851,-28,0.7085064862450241,1
PROJ-1106,Site Phase 9 Development,INFRASTRUCTURE,Delta Partners,1353370,2221471.384603872,2024-05-12,170,2024-12-31,233,-868101.384603872,-63,0.6092223421735995,1
PROJ-1107,Site Phase 4 Development,COMMERCIAL,Vertex Infra,1826172,2615519.6642091186,2024-03-26,222,2024-11-19,238,-789347.6642091186,-16,0.6982061824995678,1
PROJ-1108,Site Phase 7 Development,RESIDENTIAL,Apex Build,4427038,5964902.245391877,2022-09-28,374,2023-11-26,424,-1537864.2453918774,-50,0.7421811486382801,1
PROJ-1109,Site Phase 9 Development,RESIDENTIAL,Delta Partners,5738787,6543413.018315708,2023-04-01,477,2024-08-20,507,-804626.0183157083,-30,0.8770326714722921,1
PROJ-1110,Site Phase 2 Development,RESIDENTIAL,Summit Const,3243830,5300578.169649084,2023-04-07,227,2024-01-17,285,-2056748.169649084,-58,0.6119766365439249,1
PROJ-1111,Site Phase 2 Development,RESIDENTIAL,Vertex Infra,3857763,4662937.826588035,2023-12-28,273,2024-10-05,282,-805174.8265880346,-9,0.8273245630690303,1
PROJ-1112,Site Phase 9 Development,RESIDENTIAL,Vertex Infra,4270840,4872992.570851526,2022-09-09,490,2024-04-26,595,-602152.5708515262,-105,0.8764306404952504,1
PROJ-1113,Site Phase 3 Development,INFRASTRUCTURE,Apex Build,3525466,5872348.651270319,2023-12-03,419,2025-07-15,590,-2346882.651270319,-171,0.6003502532563975,1
PROJ-1114,Site Phase 9 Development,COMMERCIAL,Apex Build,2334176,4618514.797142463,2022-10-23,362,2024-04-04,529,-2284338.797142463,-167,0.5053953711362332,1
PROJ-1115,Site Phase 5 Development,RESIDENTIAL,Apex Build,2389530,3046131.8696822478,2023-12-26,429,2025-05-07,498,-656601.8696822478,-69,0.7844473260605294,1
PROJ-1116,Site Phase 6 Development,COMMERCIAL,Apex Build,1248832,1400110.8471792536,2023-12-21,158,2024-06-07,169,-151278.8471792536,-11,0.891952235436195,1
PROJ-1117,Site Phase 2 Development,RESIDENTIAL,Apex Build,923115,1436695.2200796434,2024-01-19,123,2024-08-03,197,-513580.2200796434,-74,0.6425266730885532,1
PROJ-1118,Site Phase 8 Development,COMMERCIAL,Apex Build,2076867,2032219.7549793057,2022-12-04,351,2023-11-21,352,44647.24502069433,-1,1.021969693440535,0
PROJ-1119,Site Phase 9 Development,RESIDENTIAL,Apex Build,1701444,2019856.628366467,2024-05-28,142,2024-10-26,151,-318412.6283664671,-9,0.8423587972063249,1
PROJ-1120,Site Phase 2 Development,INFRASTRUCTURE,Apex Build,6698153,8306140.575784637,2022-02-22,539,2023-09-03,558,-1607987.5757846367,-19,0.8064097806781053,1
PROJ-1121,Site Phase 6 Development,RESIDENTIAL,Summit Const,3332784,3602852.9033774403,2024-03-02,294,2025-02-03,338,-270068.9033774403,-44,0.9250402637520204,1
PROJ-1122,Site Phase 6 Development,RESIDENTIAL,Apex Build,1435770,2707636.1775514884,2024-07-10,215,2025-05-02,296,-1271866.1775514884,-81,0.5302669582803273,1
PROJ-1123,Site Phase 8 Development,COMMERCIAL,Vertex Infra,1819260,2733117.8374023843,2022-08-05,324,2023-08-21,381,-913857.8374023843,-57,0.6656354055078229,1
PROJ-1124,Site Phase 5 Development,RESIDENTIAL,Apex Build,1972212,3030976.576861477,2024-02-03,132,2024-07-22,170,-1058764.576861477,-38,0.6506853319342345,1
PROJ-1125,Site Phase 9 Development,RESIDENTIAL,Delta Partners,3976294,5670464.795188902,2022-07-07,329,2023-06-29,357,-1694170.795188902,-28,0.7012289368895617,1
PROJ-1126,Site Phase 1 Development,COMMERCIAL,Summit Const,4484540,6754583.145061437,2023-01-15,460,2025-01-21,737,-2270043.145061437,-277,0.6639255012026668,1
PROJ-1127,Site Phase 9 Development,COMMERCIAL,Apex Build,1701000,2285012.729304186,2023-05-08,200,2023-12-30,236,-584012.7293041861,-36,0.7444159842899322,1
PROJ-1128,Site Phase 7 Development,COMMERCIAL,Apex Build,3220802,4376551.549708445,2022-02-10,338,2023-02-23,378,-1155749.5497084446,-40,0.7359223268407662,1
PROJ-1129,Site Phase 4 Development,RESIDENTIAL,Vertex Infra,1472400,2048101.7685375344,2022-06-06,240,2023-02-15,254,-575701.7685375344,-14,0.718909588682881,1
PROJ-1130,Site Phase 3 Development,RESIDENTIAL,Apex Build,3689952,6185856.931112406,2022-01-15,272,2023-01-03,353,-2495904.931112406,-81,0.5965142810595903,1
PROJ-1131,Site Phase 6 Development,RESIDENTIAL,Vertex Infra,5196050,6158105.296896536,2024-03-23,425,2025-07-21,485,-962055.2968965359,-60,0.8437741398508763,1
PROJ-1132,Site Phase 1 Development,INFRASTRUCTURE,Apex Build,1869808,2799208.840447593,2022-03-06,184,2022-09-23,201,-929400.840447593,-17,0.6679773130828702,1
PROJ-1133,Site Phase 3 Development,RESIDENTIAL,Apex Build,2410378,2389327.451441653,2024-05-06,463,2025-08-26,477,21050.548558346927,-14,1.008810240114073,0
PROJ-1134,Site Phase 2 Development,INFRASTRUCTURE,Apex Build,4828875,7291076.677551948,2024-04-18,489,2025-10-22,552,-2462201.6775519485,-63,0.6622993027720212,1
PROJ-1135,Site Phase 9 Development,COMMERCIAL,Apex Build,612943,1400765.7149801266,2023-06-05,97,2023-11-12,160,-787822.7149801266,-63,0.4375771004708636,1
PROJ-1136,Site Phase 3 Development,COMMERCIAL,Summit Const,2929257,3047566.6463136454,2022-12-10,477,2024-04-25,502,-118309.64631364541,-25,0.9611789798077908,1
PROJ-1137,Site Phase 2 Development,RESIDENTIAL,Summit Const,4322523,7247559.105026816,2022-05-09,449,2023-12-27,597,-2925036.105026816,-148,0.5964108656943483,1
PROJ-1138,Site Phase 4 Development,COMMERCIAL,Summit Const,5909553,5665625.377096945,2023-10-10,477,2025-02-18,497,243927.62290305458,-20,1.0430539625668018,0
PROJ-1139,Site Phase 2 Development,COMMERCIAL,Apex Build,2099370,2722032.0948138763,2023-04-17,273,2024-03-03,321,-622662.0948138763,-48,0.7712510091265283,1
PROJ-1140,Site Phase 1 Development,COMMERCIAL,Vertex Infra,4559510,7135889.774003235,2022-03-04,370,2023-07-17,500,-2576379.7740032347,-130,0.6389546565882722,1
PROJ-1141,Site Phase 6 Development,COMMERCIAL,Delta Partners,2344420,3095225.6485317345,2022-05-19,284,2023-03-30,315,-750805.6485317345,-31,0.7574310458147405,1
PROJ-1142,Site Phase 8 Development,COMMERCIAL,Apex Build,5856921,9156667.613685258,2023-05-14,441,2024-09-29,504,-3299746.6136852577,-63,0.6396345534314728,1
PROJ-1143,Site Phase 2 Development,COMMERCIAL,Delta Partners,2900492,3976732.662420359,2023-08-16,284,2024-06-26,315,-1076240.662420359,-31,0.7293655989021584,1
PROJ-1144,Site Phase 9 Development,COMMERCIAL,Vertex Infra,2222352,2825791.622839854,2023-01-27,244,2023-10-26,272,-603439.6228398541,-28,0.7864528941332867,1
PROJ-1145,Site Phase 3 Development,RESIDENTIAL,Vertex Infra,1459640,3966158.023366536,2023-11-06,182,2024-11-19,379,-2506518.023366536,-197,0.368023662042854,1
PROJ-1146,Site Phase 8 Development,COMMERCIAL,Apex Build,1707393,2763049.1205561617,2023-02-23,249,2023-12-13,293,-1055656.1205561617,-44,0.6179379828239632,1
PROJ-1147,Site Phase 8 Development,RESIDENTIAL,Summit Const,7319908,8007514.274524606,2022-10-16,523,2024-07-05,628,-687606.2745246058,-105,0.9141298721486915,1
PROJ-1148,Site Phase 3 Development,COMMERCIAL,Summit Const,2120400,3481034.2823581053,2023-01-14,150,2023-07-10,177,-1360634.2823581053,-27,0.6091293069839028,1
PROJ-1149,Site Phase 3 Development,INFRASTRUCTURE,Vertex Infra,1643479,1762929.9877400403,2024-02-12,211,2024-10-09,240,-119450.98774004029,-29,0.932242920268678,1
PROJ-1150,Site Phase 6 Development,INFRASTRUCTURE,Apex Build,1242500,1693795.8346187486,2023-05-05,140,2023-09-28,146,-451295.83461874863,-6,0.7335594849184822,1
PROJ-1151,Site Phase 1 Development,RESIDENTIAL,Apex Build,6201660,7250554.307209268,2022-08-19,492,2024-02-23,553,-1048894.3072092682,-61,0.8553359835997164,1
PROJ-1152,Site Phase 4 Development,RESIDENTIAL,Apex Build,5417532,5591324.103991234,2022-02-10,366,2023-03-08,391,-173792.10399123374,-25,0.9689175406828632,1
PROJ-1153,Site Phase 1 Development,COMMERCIAL,Summit Const,1234690,2853788.871281198,2022-01-28,94,2022-08-10,194,-1619098.8712811982,-100,0.43264938497208816,1
PROJ-1154,Site Phase 3 Development,COMMERCIAL,Vertex Infra,2000955,2944955.4584514773,2022-05-15,181,2022-12-19,218,-944000.4584514773,-37,0.6794517024892955,1
PROJ-1155,Site Phase 9 Development,COMMERCIAL,Delta Partners,2300438,3990470.143224692,2022-07-20,259,2023-09-05,412,-1690032.143224692,-153,0.576482949986695,1
PROJ-1156,Site Phase 5 Development,COMMERCIAL,Summit Const,4943050,4820687.7760872375,2024-04-19,406,2025-06-20,427,122362.22391276248,-21,1.025382731592727,0
PROJ-1157,Site Phase 5 Development,INFRASTRUCTURE,Apex Build,1346319,3099476.3333510407,2024-02-19,111,2024-09-19,213,-1753157.3333510407,-102,0.4343698274167524,1
PROJ-1159,Site Phase 3 Development,RESIDENTIAL,Vertex Infra,4040025,5249639.592111635,2022-02-02,415,2023-06-11,494,-1209614.592111635,-79,0.7695814025158487,1
PROJ-1160,Site Phase 5 Development,RESIDENTIAL,Summit Const,664830,1452228.3972649944,2022-02-17,90,2022-08-31,195,-787398.3972649944,-105,0.4577998896400079,1
PROJ-1161,Site Phase 4 Development,RESIDENTIAL,Delta Partners,2571204,3844082.561447892,2023-05-18,222,2024-03-09,296,-1272878.5614478919,-74,0.6688732510031065,1
